,natl_id,Label,address,State,zipcode,cat1,cat2,cat3,url,Notes,lon,lat
65,65,Colleton Solar Farm,"1751 Hiers Corner Rd, Walterboro, SC 29488, USA",SC,29488,No Tier,Other,Solar Partnership,,Solar Farm,-80.6944,32.91116
66,66,MySCSolar,"808 Knox Abbott Dr, Cayce, SC 29033, USA",SC,29033,No Tier,Program,Solar Partnership,,,-81.0624,33.98258
67,67,Carolina Connect,"P.O. Box 1667, SC 29071, USA",SC,29071,No Tier,Program,Broadband,,,-80.767078,33.221238
68,68,Chesterfield County Economic Development Board,"105 Green St, Chesterfield, SC 29709, USA",SC,29709,No Tier,Other,Economic Development,,,-80.0853,34.73645
69,69,Clarendon County Development Board,"411 Sunset Dr, Manning, SC 29102, USA",SC,29102,No Tier,Other,Economic Development,,,-80.2223,33.68778
70,70,Kershaw County Economic Development Office,"95 Innovation Way, Camden, SC 29020, USA",SC,29021,No Tier,Other,Economic Development,,,-80.5869,34.2194
71,71,Florence County Economic Development Partnership,"SiMT Incubator Building, 1951 Pisgah Rd #120, Florence, SC 29501, USA",SC,29501,No Tier,Other,Economic Development,,,-79.8043,34.24854
72,72,Georgetown County Economic Development,"716 Prince St, Georgetown, SC 29440, USA",SC,29440,No Tier,Other,Economic Development,,,-79.2816,33.36737
73,73,Williamsburg County Economic Development Board,"130 W Main St, Kingstree, SC 29556, USA",SC,29556,No Tier,Other,Economic Development,,,-79.8313,33.66392
74,74,Indiana Electric Cooperatives,"8888 Keystone Crossing #1600, Indianapolis, IN 46240, USA",IN,46240,Fourth Tier,Association,State,https://www.indianaec.org/,,-86.1088562,39.9166991
75,75,Steuben County REMC,"1212 S Wayne St, Angola, IN 46703, USA",IN,46703,First Tier,Distribution,Distribution,https://www.remcsteuben.com/,,-85.000768,41.622176
76,76,Lagrange County REMC,"1995 Hwy 20, LaGrange, IN 46761, USA",IN,46761,First Tier,Distribution,Distribution,https://www.lagrangeremc.com/,,-85.3884345,41.6426089
77,77,Noble REMC,"300 Weber Rd, Albion, IN 46701, USA",IN,46701,First Tier,Distribution,Distribution,https://www.nobleremc.com/,,-85.420704,41.389335
