ID,FIPS,Label,Address,State,Zip,Category,cat1,cat2,cat3,url,Notes,address,formatted_address,lng,lat,subcat
63,,South Carolina I-77 Alliiance,"3200 Commerce Dr., Suite D",SC,29729,Development,No Tier,Other,Economic Development,https://www.i77alliance.com/,,"South Carolina I-77 Alliiance, SC, 3200 Commerce Dr., Suite D, 29729","3200 Commerce Dr, Richburg, SC 29729, USA",-81.0344,34.74994,
64,,York County Economic Development,1830 2nd Baxter Crossing,SC,29708,Development,No Tier,Other,Economic Development,,,"York County Economic Development, SC, 1830 2nd Baxter Crossing, 29708","1830 2nd Baxter Crossing, Fort Mill, SC 29708, USA",-80.969,35.02947,
65,,Colleton Solar Farm,1751 Hiers Corner Road,SC,29488,Solar,No Tier,Other,Solar Partnership,,Solar Farm,"Colleton Solar Farm, SC, 1751 Hiers Corner Road, 29488","1751 Hiers Corner Rd, Walterboro, SC 29488, USA",-80.6944,32.91116,
66,,MySCSolar,808 Knox Abbot Drive,SC,29033,Solar,No Tier,Program,Solar Partnership,,,"MySCSolar, SC, 808 Knox Abbot Drive, 29033","808 Knox Abbott Dr, Cayce, SC 29033, USA",-81.0624,33.98258,
67,,Carolina Connect,P.O. Box 1667,SC,29071,Development,No Tier,Program,Broadband,,,"Carolina Connect, SC, P.O. Box 1667, 29071","P.O. Box 1667, 29071",-80.767078,33.221238,
68,,Chesterfield County Economic Development Board,105 Green Street,SC,29709,Development,No Tier,Other,Economic Development,,,"Chesterfield County Economic Development Board, SC, 105 Green Street, 29709","105 Green St, Chesterfield, SC 29709, USA",-80.0853,34.73645,
69,,Clarendon County Development Board,411 Sunset Dr,SC,29102,Development,No Tier,Other,Economic Development,,,"Clarendon County Development Board, SC, 411 Sunset Dr, 29102","411 Sunset Dr, Manning, SC 29102, USA",-80.2223,33.68778,
70,,Kershaw County Economic Development Office,80 Campus Dr.,SC,29021,Development,No Tier,Other,Economic Development,,,"Kershaw County Economic Development Office, SC, 80 Campus Dr., 29021","95 Innovation Way, Camden, SC 29020, USA",-80.5869,34.2194,
71,,Florence County Economic Development Partnership,1951 Pisgah Road,SC,29501,Development,No Tier,Other,Economic Development,,,"Florence County Economic Development Partnership, SC, 1951 Pisgah Road, 29501","SiMT Incubator Building, 1951 Pisgah Rd #120, Florence, SC 29501, USA",-79.8043,34.24854,
72,,Georgetown County Economic Development,716 Prince St,SC,29440,Development,No Tier,Other,Economic Development,,,"Georgetown County Economic Development, SC, 716 Prince St, 29440","716 Prince St, Georgetown, SC 29440, USA",-79.2816,33.36737,
73,,Williamsburg County Economic Development Board,130 West Main Street,SC,29556,Development,No Tier,Other,Economic Development,,,"Williamsburg County Economic Development Board, SC, 130 West Main Street, 29556","130 W Main St, Kingstree, SC 29556, USA",-79.8313,33.66392,
