"ID","Label","address","State","zipcode","cat1","cat2","cat3","url","Notes","lon","lat","formatted_address","lng"
"86","Carroll White REMC","302 N 6th St, Monticello, IN 47960, USA, Carroll White REMC, IN, 47960","IN","47960","First Tier","Distribution","Distribution","https://www.cwremc.com/","","-86.775261",40.74738199999999,"302 N 6th St, Monticello, IN 47960, USA",-86.775261
"87","Kankakee Valley REMC","8642 US-30, Wanatah, IN 46390, USA, Kankakee Valley REMC, IN, 46390","IN","46390","First Tier","Distribution","Distribution","https://www.kvremc.com/","","-86.8647589",41.4338524,"8642 US-30, Wanatah, IN 46390, USA",-86.8647589
"88","Jasper County REMC","280 E Wood Rd, Rensselaer, IN 47978, USA, Jasper County REMC, IN, 47978","IN","47978","First Tier","Distribution","Distribution","http://www.jasperremc.com/","","-87.1553774",40.9563623,"280 E Wood Rd, Rensselaer, IN 47978, USA",-87.15537739999999
"89","Newton County REMC","4151 US-24, Goodland, IN 47948, USA, Newton County REMC, IN, 47948","IN","47948","First Tier","Distribution","Distribution","http://www.newtoncountyremc.com/","","-87.312553",40.765185,"4151 US-24, Goodland, IN 47948, USA",-87.312553
"90","Warren County REMC","15 Midway St, Williamsport, IN 47993, USA, Warren County REMC, IN, 47993","IN","47993","First Tier","Distribution","Distribution","https://www.wcremc.com/","","-87.2952271",40.2868523,"15 Midway St, Williamsport, IN 47993, USA",-87.29522709999999
"91","Tipmont REMC","403 S Main St, Linden, IN 47955, USA, Tipmont REMC, IN, 47955","IN","47955","First Tier","Distribution","Distribution","https://www.tipmont.org/","","-86.9032143",40.1842633,"403 S Main St, Linden, IN 47955, USA",-86.9032143
"92","Boone REMC","1207 Indianapolis Ave, Lebanon, IN 46052, USA, Boone REMC, IN, 46052","IN","46052","First Tier","Distribution","Distribution","https://www.bremc.com/","","-86.4545039",40.03713339999999,"1207 Indianapolis Ave, Lebanon, IN 46052, USA",-86.45450389999999
"93","Hendricks Power Cooperative","86 North CR-500 East, Avon, IN 46123, USA, Hendricks Power Cooperative, IN, 46123","IN","46123","First Tier","Distribution","Distribution","https://www.hendrickspower.com/","","-86.43949",39.76362,"86 North CR-500 East, Avon, IN 46123, USA",-86.43948999999999
"94","Johnson County REMC","750 International Dr, Franklin, IN 46131, USA, Johnson County REMC, IN, 46131","IN","46131","First Tier","Distribution","Distribution","http://jcremc.com/","","-86.0691575",39.5179685,"750 International Dr, Franklin, IN 46131, USA",-86.0691575
"95","South Central Indiana REMC","300 Morton Ave, Martinsville, IN 46151, USA, South Central Indiana REMC, IN, 46151","IN","46151","First Tier","Distribution","Distribution","https://www.sciremc.com/","","-86.4323865",39.4172926,"300 Morton Ave, Martinsville, IN 46151, USA",-86.43238649999999
"96","NineStar Connect","2243 E Main St, Greenfield, IN 46140, USA, NineStar Connect, IN, 46140","IN","46140","First Tier","Distribution","Distribution","https://www.ninestarconnect.com/","","-85.7319697",39.78583829999999,"2243 E Main St, Greenfield, IN 46140, USA",-85.7319697
"97","Parke County REMC","119 W High St, Rockville, IN 47872, USA, Parke County REMC, IN, 47872","IN","47872","First Tier","Distribution","Distribution","https://pcremc.com/content/parke-county-remc-news","","-87.2286139",39.7612049,"119 W High St, Rockville, IN 47872, USA",-87.2286139
"98","Utilities District of Western Indiana REMC","1666 W State Rd 54, Bloomfield, IN 47424, USA, Utilities District of Western Indiana REMC, IN, 47424","IN","47424","First Tier","Distribution","Distribution","https://www.udwiremc.com/","","-86.9721069",39.0289835,"1666 W State Rd 54, Bloomfield, IN 47424, USA",-86.9721069
"99","WIN Energy REMC","3981 US-41, Vincennes, IN 47591, USA, WIN Energy REMC, IN, 47591","IN","47591","First Tier","Distribution","Distribution","http://www.winenergyremc.com/","","-87.5370455",38.6181949,"3981 US-41, Vincennes, IN 47591, USA",-87.53704549999999
"100","Daviess-Martin County REMC","12628 E 75 N, Loogootee, IN 47553, USA, Daviess-Martin County REMC, IN, 47553","IN","47553","First Tier","Distribution","Distribution","http://www.dmremc.com/","","-86.928774",38.669204,"12628 E 75 N, Loogootee, IN 47553, USA",-86.92877399999999
"101","Dubois REC, Inc.","1400 Energy Drive, Jasper, IN 47546, USA, Dubois REC, Inc., IN, 47546","IN","47546","First Tier","Distribution","Distribution","http://www.duboisrec.com/","","-86.9057047",38.3632021,"1400 Energy Drive, Jasper, IN 47546, USA",-86.9057047
"102","Southern Indiana Power","1776 10th St, Tell City, IN 47586, USA, Southern Indiana Power, IN, 47586","IN","47586","First Tier","Distribution","Distribution","http://www.sinpwr.com/","","-86.7661473",37.9665956,"1776 10th St, Tell City, IN 47586, USA",-86.7661473
"103","Orange County REMC","7133 IN-337, Orleans, IN 47452, USA, Orange County REMC, IN, 47452","IN","47452","First Tier","Distribution","Distribution","http://myremc.coop/","","-86.43789",38.659949,"7133 IN-337, Orleans, IN 47452, USA",-86.43789
"104","Jackson County REMC","274 E Base Rd, Brownstown, IN 47220, USA, Jackson County REMC, IN, 47220","IN","47220","First Tier","Distribution","Distribution","https://www.jacksonremc.com/","","-86.0326094",38.8815365,"274 E Base Rd, Brownstown, IN 47220, USA",-86.0326094
"105","Harrison REMC","1165 Old Forest Rd NW, Corydon, IN 47112, USA, Harrison REMC, IN, 47112","IN","47112","First Tier","Distribution","Distribution","http://www.harrisonremc.com/","","-86.1480832",38.2184912,"1165 Old Forest Rd NW, Corydon, IN 47112, USA",-86.1480832
"106","Clark County REMC","1859, 7810 IN-60, Sellersburg, IN 47172, USA, Clark County REMC, IN, 47172","IN","47172","First Tier","Distribution","Distribution","https://www.theremc.com/","","-85.7652339",38.3751418,"1859, 7810 IN-60, Sellersburg, IN 47172, United States",-85.7652339
"107","Southeastern Indiana REMC","712 S Buckeye St, Osgood, IN 47037, USA, Southeastern Indiana REMC, IN, 47037","IN","47037","First Tier","Distribution","Distribution","https://www.seiremc.com/","","-85.2885117",39.123268,"712 S Buckeye St, Osgood, IN 47037, USA",-85.2885117
"108","Bartholomew County REMC","1697 W Deaver Rd, Columbus, IN 47201, USA, Bartholomew County REMC, IN, 47201","IN","47201","First Tier","Distribution","Distribution","https://www.bcremc.com/","","-85.942153",39.1481041,"1697 W Deaver Rd, Columbus, IN 47201, USA",-85.94214079999999
"109","Decatur County REMC","1430 W Main St, Greensburg, IN 47240, USA, Decatur County REMC, IN, 47240","IN","47240","First Tier","Distribution","Distribution","http://www.dcremc.com/","","-85.5065032",39.3369001,"1430 W Main St, Greensburg, IN 47240, USA",-85.5065032
"110","RushShelby Energy","2777 S 840 W, Manilla, IN 46150, USA, RushShelby Energy, IN, 46150","IN","46150","First Tier","Distribution","Distribution","http://rse.coop/","","-85.6040516",39.5720477,"2777 S 840 W, Manilla, IN 46150, USA",-85.60405159999999
"111","Henry County REMC","3400 S State Road 3, New Castle, IN 47362, USA, Henry County REMC, IN, 47362","IN","47362","First Tier","Distribution","Distribution","http://www.hcremc.com/","","-85.3838707",39.88297,"3400 S State Road 3, New Castle, IN 47362, United States",-85.3838707
"112","Whitewater Valley REMC","101 Brownsville Ave, Liberty, IN 47353, USA, Whitewater Valley REMC, IN, 47353","IN","47353","First Tier","Distribution","Distribution","https://www.wwvremc.com/","","-84.9312422",39.63751860000001,"101 Brownsville Ave, Liberty, IN 47353, USA",-84.9312422
"113","Touchstone Energy Camp","4301 Wilson Blvd, Arlington, VA 22203, USA, Touchstone Energy Camp, IN, 47923","IN","47923","No Tier","Program","Youth Development","https://www.indianaec.org/Program/youth/touchstone-energy-camp/","","-77.112987",38.8805112,"4301 Wilson Blvd, Arlington, VA 22203, USA",-77.1129365
"114","Powershift",", Powershift, IN, 46214","IN","46214","No Tier","Program","Energy Savings","https://www.powermoves.com/","","NA",39.7884076,"Indianapolis, IN 46214, USA",-86.28695069999999
"115","Co-op Solar","296 Nonotuck St Suite #4, Northampton, MA 01062, USA, Co-op Solar, IN, 46214","IN","46214","No Tier","Program","Solar","https://www.powermoves.com/co-op-solar/solar-dashboard/","","-72.676393",42.33011399999999,"296 Nonotuck St Suite #4, Northampton, MA 01062, USA",-72.67639299999999
"116","Operation Round-up","242 24th Ave NW, Norman, OK 73069, USA, Operation Round-up, IN, 73069","IN","73069","No Tier","Program","Community","","","-97.4774301",35.2215373,"242 24th Ave NW, Norman, OK 73069, USA",-97.47743009999999
"117","Steuben County Industrial Guild","Steuben County, IN, USA, Steuben County Industrial Guild, IN, 46703","IN","46703","No Tier","Other","Development","https://steubenedc.com/Program-and-services/organizations-we-support/industrial-guild","","-84.981754",41.6323583,"Angola, IN 46703, USA",-85.0025539
"118","Steuben County Economic Development Corporation","907 S Wayne St Suite 100, Angola, IN 46703, USA, Steuben County Economic Development Corporation, IN, 46703","IN","46703","No Tier","Other","Development","https://steubenedc.com/","","-84.998602",41.627125,"907 S Wayne St Suite 100, Angola, IN 46703, USA",-84.99860199999999
"119","Steuben County Tourism Bureau","430 N Wayne St Suite 1B, Angola, IN 46703, USA, Steuben County Tourism Bureau, IN, 46703","IN","46703","No Tier","Other","Development","https://visitsteubencounty.com/","","-84.998891",41.638883,"430 N Wayne St Suite 1B, Angola, IN 46703, USA",-84.998891
"120","Steuben County Chamber of Commerce","47 Liberty St, Bath, NY 14810, USA, Steuben County Chamber of Commerce, IN, 46703","IN","46703","No Tier","Other","Development","https://steubenedc.com/Program-and-services/chambers-of-commerce/","","-77.317818",42.335786,"47 Liberty St, Bath, NY 14810, USA",-77.31781800000002
"121","Wabash Valley Power Association","722 N High School Rd, Indianapolis, IN 46214, USA, Wabash Valley Power Association, IN, 46214","IN","46214","Second Tier","CBN","G&T","https://www.wvpa.com/","","-86.2730289",39.7758899,"722 N High School Rd, Indianapolis, IN 46214, USA",-86.2730289
"122","Power Moves","253 W Merrick Rd, Valley Stream, NY 11580, USA, Power Moves, IN, 46214","IN","46214","No Tier","Program","Energy Savings","https://www.powermoves.com/","","-73.7064523",40.6675077,"253 W Merrick Rd, Valley Stream, NY 11580, USA",-73.7064523
"123","Indiana Connection","6640 Intech Blvd #250, Indianapolis, IN 46278, USA, Indiana Connection, IN, 46240","IN","46240","No Tier","Other","Press","https://www.indianaconnection.org/","","-86.275313",39.875871,"6640 Intech Blvd #250, Indianapolis, IN 46278, USA",-86.275313
"124","Together We Save",", Together We Save, IN, NA","IN","NA","No Tier","Program","Consumer Saivings","https://www.touchstoneenergy.com/together-we-save/overview/","","NA",37.09024,"United States",-95.712891
"125","Envirowatts",", Envirowatts, IN, NA","IN","NA","No Tier","Program","Development","","funding for environmental projects in community","NA",,,
"126","Beat the Peak",", Beat the Peak, IN, NA","IN","NA","No Tier","Program","Community","https://ppec.coop/acrecopa-sign-up/","","NA",,,
"127","ACRE/COPA",", ACRE/COPA, IN, NA","IN","NA","No Tier","Program","Political Action","https://www.wwvremc.com/content/co-op-owners-political-action-copa","","NA",-9.0237964,"State of Acre, Brazil",-70.81199529999999
"128","OurSolar",", OurSolar, IN, NA","IN","NA","No Tier","Program","Solar","https://www.oursolar.coop/pauldingputnam/","","NA",,,
"129","Paulding County Economic Development","101 E Perry St, Paulding, OH 45879, USA, Paulding County Economic Development, OH, 45879","OH","45879","No Tier","Other","Economic Development","https://www.pced.net/","","-84.5806834",41.1373221,"101 E Perry St, Paulding, OH 45879, USA",-84.5806834
"130","Putnam County CIC","115 S Fair St, Ottawa, OH 45875, USA, Putnam County CIC, OH, 45875","OH","45875","No Tier","Other","Economic Development","https://www.putnamcountyohio.com/","","-84.0292478",41.0194474,"115 S Fair St, Ottawa, OH 45875, USA",-84.0292478
"131","Defiance County Economic Development","1300 E 2nd St # 201, Defiance, OH 43512, USA, Defiance County Economic Development, OH, 43512","OH","43512","No Tier","Other","Economic Development","https://www.defecon.com/","","-84.341384",41.283784,"1300 E 2nd St # 201, Defiance, OH 43512, USA",-84.34138399999999
"132","Van Wert County Economic Development","145 E Main St, Van Wert, OH 45891, USA, Van Wert County Economic Development, OH, 45891","OH","45891","No Tier","Other","Economic Development","https://vanwertcounty.org/","","-84.5810635",40.8697565,"145 E Main St, Van Wert, OH 45891, USA",-84.5810635
"133","Van Wert City Economic Development","145 E Main St, Van Wert, OH 45891, USA, Van Wert City Economic Development, OH, 45891","OH","45891","No Tier","Other","Economic Development","http://www.whyvanwert.org/","","-84.5810635",40.8697565,"145 E Main St, Van Wert, OH 45891, USA",-84.5810635
"134","Regional Chamber of Northeast Indiana","200 E Main St, Fort Wayne, IN 46802, USA, Regional Chamber of Northeast Indiana, IN, 46802","IN","46802","No Tier","Other","Business Association","https://neinadvocates.com/","","-85.1374025",41.0803806,"200 E Main St, Fort Wayne, IN 46802, USA",-85.1374025
"135","Greater Fort Wayne Inc.","200 E Main St #800, Fort Wayne, IN 46802, USA, Greater Fort Wayne Inc., IN, 46802","IN","46802","No Tier","Other","Business Association","https://www.greaterfortwayneinc.com/","","-85.1374025",41.0803806,"200 E Main St #800, Fort Wayne, IN 46802, USA",-85.1374025
"136","Northeast Regional Partnership","200 E Main St suite 910 a, Fort Wayne, IN 46802, USA, Northeast Regional Partnership, IN, 46802","IN","46802","No Tier","Other","Business Association","https://neindiana.com/","","-85.137144",41.080499,"200 E Main St suite 910 a, Fort Wayne, IN 46802, USA",-85.13714399999999
"137","New Haven Economic Development","165 Church St # 513, New Haven, CT 06510, USA, New Haven Economic Development, IN, 6510","IN","6510","No Tier","Other","Economic Development","http://newhaven.in.gov/economic-development/","","-72.9240018",41.3072494,"165 Church St #513, New Haven, CT 06510, USA",-72.9245613
"138","Paulding Chamber of Commerce","220 N Main St, Paulding, OH 45879, USA, Paulding Chamber of Commerce, OH, 45879","OH","45879","No Tier","Other","Business Association","https://www.pauldingchamber.com/","","-84.5797504",41.1390368,"220 N Main St, Paulding, OH 45879, USA",-84.5797504
"139","Ottawa Chamber of Commerce","129 N Ct St, Ottawa, OH 45875, USA, Ottawa Chamber of Commerce, OH, 45875","OH","45875","No Tier","Other","Business Association","https://www.ottawachamber.org/","","-84.04661",41.019523,"129 N Ct St, Ottawa, OH 45875, USA",-84.04661
"140","Kalida Chamber of Commerce","129 N Ct St, Ottawa, OH 45875, USA, Kalida Chamber of Commerce, OH, 45875","OH","45875","No Tier","Other","Business Association","http://www.kalidaareachamber.com/","","-84.04661",41.019523,"129 N Ct St, Ottawa, OH 45875, USA",-84.04661
"141","Leipsic Chamber of Commerce","142 E Main St, Leipsic, OH 45856, USA, Leipsic Chamber of Commerce, OH, 45856","OH","45856","No Tier","Other","Business Association","http://www.leipsicchamber.com/","","-83.984813",41.0983908,"142 E Main St, Leipsic, OH 45856, USA",-83.984813
"142","Defiance Chamber of Commerce","325 Clinton St, Defiance, OH 43512, USA, Defiance Chamber of Commerce, OH, 43512","OH","43512","No Tier","Other","Business Association","http://www.defiancechamber.com/","","-84.3622701",41.2858508,"325 Clinton St, Defiance, OH 43512, USA",-84.36227009999999
"143","Columbus Chamber of Commerce","150 S Front St #220, Columbus, OH 43215, USA, Columbus Chamber of Commerce, OH, 43215","OH","43215","No Tier","Other","Business Association","https://www.columbusgroveoh.com/","","-83.0011795",39.959058,"150 S Front St #220, Columbus, OH 43215, USA",-83.00117949999999
"144","Delphos Chamber of Commerce","310 N Main St, Delphos, OH 45833, USA, Delphos Chamber of Commerce, OH, 45833","OH","45833","No Tier","Other","Business Association","https://delphoschamber.com/","","-84.3395831",40.8453109,"310 N Main St, Delphos, OH 45833, USA",-84.3395831
"145","Van Wert Chamber of Commerce","118 N Washington St, Van Wert, OH 45891, USA, Van Wert Chamber of Commerce, OH, 45891","OH","45891","No Tier","Other","Business Association","http://www.vanwertchamber.com/","","-84.5828429",40.8703609,"118 N Washington St, Van Wert, OH 45891, USA",-84.5828429
"146","New Haven Chamber of Commerce","10, 900 Chapel St, New Haven, CT 06510, USA, New Haven Chamber of Commerce, IN, 6510","IN","6510","No Tier","Other","Business Association","https://newhavenindiana.org/","","-72.9267169",41.306142,"10, 900 Chapel St, New Haven, CT 06510, USA",-72.9267169
"147","Kosciusko Economic Development Corporation","537 S Buffalo St, Warsaw, IN 46580, USA, Kosciusko Economic Development Corporation, IN, 46580","IN","46580","No Tier","Other","Business Association","http://www.kosciuskoedc.com/Index.cfm","","-85.8563158",41.2337274,"537 S Buffalo St, Warsaw, IN 46580, USA",-85.85631579999999
"148","Kosciusko Chamber of Commerce","523 S Buffalo St, Warsaw, IN 46580, USA, Kosciusko Chamber of Commerce, IN, 46580","IN","46580","No Tier","Other","Business Association","http://kremc.com/who-we-are/","","-85.8562478",41.23360419999999,"523 S Buffalo St, Warsaw, IN 46580, USA",-85.85624779999999
"149","The Builders Association Kosciusko Fulton Counties, Inc.","523 S Buffalo St, Warsaw, IN 46580, USA, The Builders Association Kosciusko Fulton Counties, Inc., IN , 46580","IN ","46580","No Tier","Other","Business Association","https://www.bakfc.com/","","-85.8561774",41.2337709,"523 S Buffalo St, Warsaw, IN 46580, USA",-85.85617739999999
"150","Marshall County Economic Development Corporation","2864 Miller Dr, Plymouth, IN 46563, USA, Marshall County Economic Development Corporation, IN, 46563","IN","46563","No Tier","Other","Business Association","https://www.marshallcountyedc.org/","","-86.3459141",41.3606534,"2864 Miller Dr, Plymouth, IN 46563, USA",-86.34726350000001
"151","Powerful Solutions E-newsletter",", Powerful Solutions E-newsletter, IN, NA","IN","NA","No Tier","Other","Economic Development","","","NA",,,
"152","Cooperative Action Network","601 E Brockway Ave Suite a & B, Morgantown, WV 26501, USA, Cooperative Action Network, IN, 26501","IN","26501","No Tier","Program","Politcal Action","https://action.coop/","","-79.942606",39.623489,"601 E Brockway Ave, Morgantown, WV 26501, USA",-79.942606
"153","Benton Community School Organization","Benton Community School District, IA, USA, Benton Community School Organization, IN, NA","IN","NA","No Tier","Program","Education","http://www.benton.k12.ia.us/","","-92.0665197",41.98043699999999,"Benton Community School District, IA, USA",-92.0665197
"154","Cooperative Research Network",", Cooperative Research Network, IN, NA","IN","NA","Second Tier","CBN","Research","","","NA",,,
"155","Federated Insurance","121 E Park Square, Owatonna, MN 55060, USA, Federated Insurance, IN, 55060","IN","55060","No Tier","Other","Insurance","https://www.federatedinsurance.com/home","","-93.2238794",44.0844619,"121 E Park Square, Owatonna, MN 55060, USA",-93.2238794
"156","North Newton School Corporation","North Newton School Corporation, IN, USA, North Newton School Corporation, IN, NA","IN","NA","No Tier","Other","Education","https://www.nn.k12.in.us","","-87.4207518",41.0509537,"North Newton School Corporation, IN, USA",-87.42075179999999
"157","South Newton School Corporation","13102 S 50 E, Kentland, IN 47951, USA, South Newton School Corporation, IN, 47951","IN","47951","No Tier","Other","Education","https://www.newton.k12.in.us/","","-87.3842794",40.8073855,"13102 S 50 E, Kentland, IN 47951, USA",-87.3842794
"158","Community Solar","100 Matsonford Rd #300, Radnor, PA 19087, USA, Community Solar, IN, 47955","IN","47955","No Tier","Program","Solar","https://www.tipmont.org/solar/about-community-solar","","-75.356787",40.049676,"100 Matsonford Rd #300, Radnor, PA 19087, USA",-75.356787
"159","Wintek Corportation","427 N 6th St C, Lafayette, IN 47901, USA, Wintek Corportation, IN, 47901","IN","47901","No Tier","Vendor","Internet Sercive","https://www.wintek.com/","","-86.890366",40.4214498,"427 N 6th St, Lafayette, IN 47901, USA",-86.8903531
"160","Hoosier Energy Generation and Transmission","6825 Blackburn Rd, Petersburg, IN 47567, USA, Hoosier Energy Generation and Transmission, IN, 47567","IN","47567","Second Tier","CBN","G&T","https://hoosierenergy.com/","","-87.2670099",38.5200246,"6825 Blackburn Rd, Petersburg, IN 47567, USA",-87.26700989999999
"161","Indiana Office of Utility Consumer Counselor","115 W Washington St #1500S, Indianapolis, IN 46204, USA, Indiana Office of Utility Consumer Counselor, IN, 46204","IN","46204","No Tier","Other","State Regulation","https://www.in.gov/oucc/","","-86.160437",39.7675601,"115 W Washington St #1500S, Indianapolis, IN 46204, USA",-86.160437
"162","Parke County Chamber of Commerce","128 W Ohio St, Rockville, IN 47872, USA, Parke County Chamber of Commerce, IN, 47872","IN","47872","No Tier","Other","Business Association","http://www.parkecountychamber.com/","","-87.2287871",39.7628239,"128 W Ohio St, Rockville, IN 47872, USA",-87.22878709999999
"163","Greater Greencastle Chamber of Commerce","2 S Jackson St, Greencastle, IN 46135, USA, Greater Greencastle Chamber of Commerce, IN, 46135","IN","46135","No Tier","Other","Business Association","http://www.gogreencastle.com/","","-86.8656406",39.64388640000001,"2 S Jackson St, Greencastle, IN 46135, USA",-86.86564059999999
"164","Community Action Program of Western Indiana","418 Washington St, Covington, IN 47932, USA, Community Action Program of Western Indiana, IN, 47932","IN","47932","No Tier","Program","Financal Assistance","http://www.incap.org/energyinfo.html","","-87.395794",40.137663,"418 Washington St, Covington, IN 47932, USA",-87.395794
"165","Child Adult Resource Services","201 Dormeyer Ave, Rockville, IN 47872, USA, Child Adult Resource Services, IN, 47872","IN","47872","No Tier","Program","Education","http://www.cars-services.org/","","-87.215284",39.763638,"201 Dormeyer Ave, Rockville, IN 47872, USA",-87.215284
"166","American Cancer Society","2222 Cottondale Ln Ste 310, Little Rock, AR 72202, USA, American Cancer Society, IN, 72202","IN","72202","No Tier","Vendor","American Cancer Society","https://www.cancer.org/","","-92.2984205",34.7595105,"2222 Cottondale Ln Ste 310, Little Rock, AR 72202, USA",-92.29842049999999
"167","March of Dimes","325 Crossways Park Dr, Woodbury, NY 11797, USA, March of Dimes, NY, 11797","NY","11797","No Tier","Vendor","March of Dimes","https://www.marchofdimes.org/","","-73.4829059",40.8070112,"325 Crossways Park Dr, Woodbury, NY 11797, USA",-73.48290589999999
"168","Junior Achievement Program","1 Education Way, Colorado Springs, CO 80906, USA, Junior Achievement Program, IN, 80906","IN","80906","No Tier","Program","Youth Development","https://www.juniorachievement.org/web/ja-usa/home","","-104.821372",38.783289,"1 Education Way, Colorado Springs, CO 80906, USA",-104.821372
"169","4-H Program","201 Umberger Hall, 1612 Claflin Rd, Manhattan, KS 66506, USA, 4-H Program, IN, 66506","IN","66506","No Tier","Program","Youth Development","https://extension.purdue.edu/4h/Pages/default.aspx","","-96.5820569",39.1943815,"201 Umberger Hall, 1612 Claflin Rd, Manhattan, KS 66506, United States",-96.5820569
"170","My Solar","525 S Hewitt St, Los Angeles, CA 90013, USA, My Solar, IN, 90013","IN","90013","No Tier","Program","Solar","https://hoosierenergy.com/my-solar-win/","","-118.2349944",34.040777,"525 S Hewitt St, Los Angeles, CA 90013, USA",-118.2349944
"171","Habitat for Hummanity Restore","601 N West St, Wichita, KS 67203, USA, Habitat for Hummanity Restore, IN, 67203","IN","67203","No Tier","Vendor","Appliance Recycling","http://www.sinpwr.com/content/appliance-recycling-Program","","-97.3901688",37.6927476,"601 N West St, Wichita, KS 67203, USA",-97.3901688
"172","Perry County Chamber of Commerce","9 W Main St, New Bloomfield, PA 17068, USA, Perry County Chamber of Commerce, IN, 17068","IN","17068","No Tier","Other","Business Association","https://www.pickperry.com/","","-77.1874725",40.4194051,"9 W Main St, New Bloomfield, PA 17068, USA",-77.1874725
"173","Perry County Economic Development Corporation","112 N Jackson St #5, Perryville, MO 63775, USA, Perry County Economic Development Corporation, IN, 63775","IN","63775","No Tier","Other","Economic Development","https://www.pickperry.com/","","-89.8626649",37.7247401,"112 N Jackson St #5, Perryville, MO 63775, USA",-89.8626649
"174","Spencer County Chamber of Commerce","2792 N, US-231, Rockport, IN 47635, USA, Spencer County Chamber of Commerce, IN, 47635","IN","47635","No Tier","Other","Business Association","http://spencercountychamber.org/","","-87.0419718",37.9273961,"2792 N, US-231, Rockport, IN 47635, United States",-87.0419718
"175","Lincolnland Economic Development Corporation","2792 US-231, Rockport, IN 47635, USA, Lincolnland Economic Development Corporation, IN, 47635","IN","47635","No Tier","Other","Economic Development","http://www.ledc.org/","","-87.0426219",37.9275192,"2792 US-231, Rockport, IN 47635, USA",-87.0426219
"176","Page Day","961 N, US-89, Page, AZ 86040, USA, Page Day, IN, 86040","IN","86040","No Tier","Program","Youth Development","https://www.indianaec.org/Program/youth/page-day/","","-111.484727",36.90273,"961 N, US-89, Page, AZ 86040, United States",-111.484727
"177","Idiana Office of Energy Development","1 North Capitol, Suite 900, Indianapolis, IN 46204, USA, Idiana Office of Energy Development, IN, NA","IN","NA","No Tier","Other","State Support","https://www.in.gov/oed/","","-86.1349019",39.7675797,"1 N Capitol Ave, Indianapolis, IN 46204, USA",-86.16146499999999
"178","U.S. Energy Information Administration","1000 Independence Ave SW, Washington, DC 20585, USA, U.S. Energy Information Administration, IN, 20585","IN","20585","No Tier","Other","Federal Support","https://www.eia.gov/","","-77.0259506",38.8870844,"1000 Independence Ave SW, Washington, DC 20585, USA",-77.0259506
"179","Indiana Utility Regulatory Commission","101 W Washington St #1500E, Indianapolis, IN 46204, USA, Indiana Utility Regulatory Commission, IN, 46204","IN","46204","No Tier","Other","State Regulation","https://www.in.gov/iurc/","","-86.1610613",39.7665644,"101 W Washington St #1500E, Indianapolis, IN 46204, USA",-86.1610613
"180","Energy Star","1019 19th St NW, Washington, DC 20036, USA, Energy Star, DC, 20036","DC","20036","No Tier","Other","Federal Regulation","https://www.energystar.gov/","","-77.0432411",38.9030638,"1019 19th St NW, Washington, DC 20036, USA",-77.04343759999999
"181","Team Up","404 Wilmont Dr D, Waukesha, WI 53189, USA, Team Up, IN, 53189","IN","53189","No Tier","Program","Energy Savings","https://teamuptosave.com/","","-88.234276",42.9743006,"404 Wilmont Dr D, Waukesha, WI 53189, USA",-88.234276
"182","Shedding Light on Hunger","NA, Shedding Light on Hunger, IN, NA","IN","NA","No Tier","Program","Food Bank","https://www.wwvremc.com/content/shedding-light-hunger-Program","swap LED lights for non-perishable food for food banks","NA",,,
"183","Ohio Cooperative Living","6677 Busch Blvd, Columbus, OH 43229, USA, Ohio Cooperative Living, OH, 433229","OH","433229","No Tier","Other","Press","https://ohioec.org/ohio-cooperative-living/","","-82.907123",40.1011846,"6677 Busch Blvd, Columbus, OH 43229, USA",-82.994672
"184","Ohio Electric Cooperatives","6677 Busch Blvd, Columbus, OH 43229, USA, Ohio Electric Cooperatives, OH, 43229","OH","43229","Fourth Tier","Association","State","https://ohioec.org/","","-82.9942982",40.1012987,"6677 Busch Blvd, Columbus, OH 43229, USA",-82.9942982
"185","Buckeye Power","6677 Busch Blvd, Columbus, OH 43229, USA, Buckeye Power, OH, 43229","OH","43229","Second Tier","CBN","G&T","https://ohioec.org/buckeye-power/","","-82.9942982",40.1012987,"6677 Busch Blvd, Columbus, OH 43229, USA",-82.9942982
"186","Arkansas Valley Electric Cooperative","1811 W Commercial St, Ozark, AR 72949, USA, Arkansas Valley Electric Cooperative, AR, 72949","AR","72949","First Tier","Distribution","NA","http://www.avecc.com/","","-93.8442928",35.4887736,"1811 W Commercial St, Ozark, AR 72949, USA",-93.84429279999999
"187","Ashley-Chicot Cooperative","307 E Jefferson St, Hamburg, AR 71646, USA, Ashley-Chicot Cooperative, AR, 71646","AR","71646","First Tier","Distribution","NA","https://ashley-chicot.com/","","-91.7952542",33.2271945,"307 E Jefferson St, Hamburg, AR 71646, USA",-91.79525420000002
"188","C&L Electric Cooperative","900 Church St, Star City, AR 71667, USA, C&L Electric Cooperative, AR, 71667","AR","71667","First Tier","Distribution","NA","https://www.clelectric.com/","","-91.8540872",33.9530869,"900 Church St, Star City, AR 71667, USA",-91.8540872
"189","Carroll Electric Cooperative","707 SE Walton Blvd, Bentonville, AR 72712, USA, Carroll Electric Cooperative, AR, 72712","AR","72712","First Tier","Distribution","NA","https://www.carrollecc.com/","","-94.202757",36.3368027,"707 SE Walton Blvd, Bentonville, AR 72712, USA",-94.20275699999999
"190","Clay County Electric Cooperative","3111 US-67, Corning, AR 72422, USA, Clay County Electric Cooperative, AR, 72422","AR","72422","First Tier","Distribution","NA","http://www.claycountyelectric.com/","","-90.6414258",36.4117983,"3111 US-67, Corning, AR 72422, USA",-90.6414258
